,날짜,종가
0,2021-06-25,1329.75
1,2021-06-24,1371.25
2,2021-06-23,1385.0
3,2021-06-22,1394.5
4,2021-06-21,1415.0
5,2021-06-18,1396.0
6,2021-06-17,1329.75
7,2021-06-16,1448.5
8,2021-06-15,1465.75
9,2021-06-14,1472.25
10,2021-06-11,1508.5
11,2021-06-10,1544.0
12,2021-06-09,1562.5
13,2021-06-08,1580.0
14,2021-06-07,1560.25
15,2021-06-04,1583.75
16,2021-06-03,1549.25
17,2021-06-02,1562.5
18,2021-06-01,1548.5
19,2021-05-28,1530.5
20,2021-05-27,1537.0
21,2021-05-26,1503.5
22,2021-05-25,1511.75
23,2021-05-24,1522.75
24,2021-05-21,1526.25
25,2021-05-20,1533.25
26,2021-05-19,1538.25
27,2021-05-18,1574.25
