,날짜,매매기준율
0,2021-06-25,1347.94
1,2021-06-24,1353.43
2,2021-06-23,1357.55
3,2021-06-22,1349.86
4,2021-06-21,1347.7
5,2021-06-18,1348.5
6,2021-06-17,1353.09
7,2021-06-16,1355.01
8,2021-06-15,1354.79
9,2021-06-14,1356.34
10,2021-06-11,1351.86
11,2021-06-10,1358.34
12,2021-06-09,1357.63
13,2021-06-08,1358.67
14,2021-06-07,1352.19
15,2021-06-04,1351.97
16,2021-06-03,1358.3
17,2021-06-02,1355.41
18,2021-06-01,1355.75
19,2021-05-31,1351.32
20,2021-05-28,1357.4
21,2021-05-27,1363.24
22,2021-05-26,1367.1
23,2021-05-25,1375.51
24,2021-05-24,1375.79
25,2021-05-21,1377.81
26,2021-05-20,1380.29
27,2021-05-18,1378.4
28,2021-05-17,1384.15
29,2021-05-14,1368.28
30,2021-05-13,1368.19
31,2021-05-12,1364.73
32,2021-05-11,1360.03
33,2021-05-10,1354.41
34,2021-05-07,1352.44
35,2021-05-06,1353.58
36,2021-05-04,1353.34
37,2021-05-03,1353.78
38,2021-04-30,1343.24
39,2021-04-29,1344.11
