,day,종가
0,2021-02-01,53.55
1,2021-01-29,52.2
2,2021-01-28,52.34
3,2021-01-27,52.85
4,2021-01-26,52.61
5,2021-01-25,52.77
6,2021-01-22,52.27
7,2021-01-21,53.13
8,2021-01-20,53.31
9,2021-01-19,52.98
10,2021-01-15,52.36
11,2021-01-14,53.57
12,2021-01-13,52.91
13,2021-01-12,53.21
14,2021-01-11,52.25
15,2021-01-08,52.24
16,2021-01-07,50.83
17,2021-01-06,50.63
18,2021-01-05,49.93
19,2021-01-04,47.62
20,2020-12-31,48.52
21,2020-12-30,48.4
22,2020-12-29,48.0
23,2020-12-28,47.62
24,2020-12-24,48.23
25,2020-12-23,48.12
26,2020-12-22,47.02
27,2020-12-21,47.97
28,2020-12-18,49.24
29,2020-12-17,48.36
30,2020-12-16,47.82
31,2020-12-15,47.62
32,2020-12-14,46.99
33,2020-12-11,46.57
34,2020-12-10,46.78
35,2020-12-09,45.52
36,2020-12-08,45.6
37,2020-12-07,45.76
38,2020-12-04,46.26
39,2020-12-03,45.64
40,2020-12-02,45.28
41,2020-12-01,44.55
42,2020-11-30,45.34
43,2020-11-27,45.53
44,2020-11-25,45.71
45,2020-11-24,44.91
46,2020-11-23,43.06
47,2020-11-20,42.42
48,2020-11-19,41.9
49,2020-11-18,42.01
50,2020-11-17,41.65
51,2020-11-16,41.34
52,2020-11-13,40.13
53,2020-11-12,41.12
54,2020-11-11,41.45
55,2020-11-10,41.36
56,2020-11-09,40.29
57,2020-11-06,37.14
58,2020-11-05,38.79
59,2020-11-04,39.15
60,2020-11-03,37.66
61,2020-11-02,36.81
62,2020-10-30,35.79
