,date,trading,stock,price,quantity,investment,fee,tax,slippage
0,2020-04-02,buy,대상홀딩스,5350,186,995100,149,0,0
1,2020-04-02,buy,삼양식품,97200,10,972000,145,0,0
2,2020-04-02,buy,DB하이텍,21350,46,982100,147,0,0
3,2020-04-02,buy,아이센스,20200,49,989800,148,0,0
4,2020-04-02,buy,코오롱,12300,81,996300,149,0,0
5,2020-04-02,buy,CJ제일제당,228000,4,912000,136,0,0
6,2020-04-02,buy,오리엔탈정공,554,1804,999416,149,0,0
7,2020-04-02,buy,JW생명과학,14200,70,994000,149,0,0
8,2020-04-02,buy,한솔제지,10750,93,999750,149,0,0
9,2020-04-02,buy,에스앤에스텍,16300,61,994300,149,0,0
10,2020-06-01,sell,대상홀딩스,7980,186,1484280,222,4452,0
11,2020-06-01,sell,삼양식품,127500,10,1275000,191,3825,0
12,2020-06-01,sell,DB하이텍,30700,46,1412200,211,4236,0
13,2020-06-01,sell,아이센스,25700,49,1259300,188,3777,0
14,2020-06-01,sell,코오롱,17700,81,1433700,215,4301,0
15,2020-06-01,sell,CJ제일제당,299000,4,1196000,179,3588,0
16,2020-06-01,sell,오리엔탈정공,933,1804,1683132,252,5049,0
17,2020-06-01,sell,JW생명과학,18450,70,1291500,193,3874,0
18,2020-06-01,sell,한솔제지,14400,93,1339200,200,4017,0
19,2020-06-01,sell,에스앤에스텍,29100,61,1775100,266,5325,0
20,2020-06-02,buy,오리엔탈정공,1210,1182,1430220,214,0,0
21,2020-06-02,buy,대상홀딩스,8640,165,1425600,213,0,0
22,2020-06-02,buy,영우디에스피,1890,757,1430730,214,0,0
23,2020-06-02,buy,서원인텍,6930,206,1427580,214,0,0
24,2020-06-02,buy,DB하이텍,30350,47,1426450,213,0,0
25,2020-06-02,buy,삼양식품,126000,11,1386000,207,0,0
26,2020-06-02,buy,JW생명과학,18800,76,1428800,214,0,0
27,2020-06-02,buy,효성티앤씨,134000,10,1340000,200,0,0
28,2020-06-02,buy,에스앤에스텍,27800,51,1417800,212,0,0
29,2020-06-02,buy,동일고무벨트,9050,158,1429900,214,0,0
30,2020-09-01,sell,오리엔탈정공,2220,1182,2624040,393,7872,0
31,2020-09-01,sell,대상홀딩스,11550,165,1905750,285,5717,0
32,2020-09-01,sell,영우디에스피,1570,757,1188490,178,3565,0
33,2020-09-01,sell,서원인텍,6520,206,1343120,201,4029,0
34,2020-09-01,sell,DB하이텍,34850,47,1637950,245,4913,0
35,2020-09-01,sell,삼양식품,106000,11,1166000,174,3498,0
36,2020-09-01,sell,JW생명과학,19350,76,1470600,220,4411,0
37,2020-09-01,sell,효성티앤씨,98600,10,986000,147,2958,0
38,2020-09-01,sell,에스앤에스텍,46050,51,2348550,352,7045,0
39,2020-09-01,sell,동일고무벨트,12850,158,2030300,304,6090,0
40,2020-09-02,buy,KBI메탈,1470,1147,1686090,252,0,0
41,2020-09-02,buy,KMH,9660,174,1680840,252,0,0
42,2020-09-02,buy,F&F,99200,17,1686400,252,0,0
43,2020-09-02,buy,와이엔텍,13750,122,1677500,251,0,0
44,2020-09-02,buy,세하,1690,998,1686620,252,0,0
45,2020-09-02,buy,바이오니아,28600,58,1658800,248,0,0
46,2020-09-02,buy,인선이엔티,10550,159,1677450,251,0,0
47,2020-09-02,buy,선진,9940,169,1679860,251,0,0
48,2020-09-02,buy,삼영엠텍,5140,328,1685920,252,0,0
49,2020-09-02,buy,멕아이씨에스,43250,38,1643500,246,0,0
50,2020-12-18,sell,KBI메탈,1855,1147,2127685,319,6383,0
51,2020-12-18,sell,KMH,36350,174,6324900,948,18974,0
52,2020-12-18,sell,F&F,84700,17,1439900,215,4319,0
53,2020-12-18,sell,와이엔텍,14100,122,1720200,258,5160,0
54,2020-12-18,sell,세하,1915,998,1911170,286,5733,0
55,2020-12-18,sell,바이오니아,19000,58,1102000,165,3306,0
56,2020-12-18,sell,인선이엔티,11200,159,1780800,267,5342,0
57,2020-12-18,sell,선진,11400,169,1926600,288,5779,0
58,2020-12-18,sell,삼영엠텍,5270,328,1728560,259,5185,0
59,2020-12-18,sell,멕아이씨에스,39900,38,1516200,227,4548,0
