,day,매매기준율
0,2020-12-09,65076.05
1,2020-12-08,65053.13
2,2020-12-07,63816.08
3,2020-12-04,64151.55
4,2020-12-03,64744.78
5,2020-12-02,64665.15
6,2020-12-01,63930.19
7,2020-11-30,63345.46
8,2020-11-27,64282.49
9,2020-11-26,64600.57
10,2020-11-25,64466.02
11,2020-11-24,65078.3
12,2020-11-23,66871.79
13,2020-11-20,67058.2
14,2020-11-19,66745.26
15,2020-11-18,66811.85
16,2020-11-17,67231.31
17,2020-11-16,67380.99
18,2020-11-13,67236.14
19,2020-11-12,66946.72
20,2020-11-11,67236.33
21,2020-11-10,67636.01
22,2020-11-09,70236.57
23,2020-11-06,70137.72
24,2020-11-05,69518.72
25,2020-11-04,69662.62
26,2020-11-03,69059.96
27,2020-11-02,68767.47
28,2020-10-30,68182.88
29,2020-10-29,68443.79
30,2020-10-28,69398.2
31,2020-10-27,68910.43
32,2020-10-26,68981.87
33,2020-10-23,69351.65
34,2020-10-22,69942.79
35,2020-10-21,69826.66
36,2020-10-20,69699.57
37,2020-10-19,70078.25
38,2020-10-16,70365.66
39,2020-10-15,69952.23
40,2020-10-14,69907.52
41,2020-10-13,70836.21
42,2020-10-12,71140.25
43,2020-10-08,70129.05
44,2020-10-07,70366.56
45,2020-10-06,71319.03
46,2020-10-05,70834.0
47,2020-09-29,70732.8
48,2020-09-28,69910.32
49,2020-09-25,70532.25
50,2020-09-24,69959.72
51,2020-09-23,70345.9
52,2020-09-22,71107.1
53,2020-09-21,72487.46
54,2020-09-18,72999.15
55,2020-09-17,73317.66
56,2020-09-16,74175.08
57,2020-09-15,74461.84
58,2020-09-14,74005.88
59,2020-09-11,74232.13
60,2020-09-10,74317.55
61,2020-09-09,73802.72
62,2020-09-08,73554.04
63,2020-09-07,73750.8
64,2020-09-04,74142.71
65,2020-09-03,74013.11
66,2020-09-02,74992.17
67,2020-09-01,75725.32
68,2020-08-31,74804.66
69,2020-08-28,74435.71
70,2020-08-27,73942.46
71,2020-08-26,73379.21
72,2020-08-25,73516.25
73,2020-08-24,74431.29
74,2020-08-21,73953.18
75,2020-08-20,73890.05
76,2020-08-19,75675.77
77,2020-08-18,76473.57
78,2020-08-14,74302.66
79,2020-08-13,73644.44
80,2020-08-12,73314.29
81,2020-08-11,75746.62
82,2020-08-10,77616.66
83,2020-08-07,78538.9
84,2020-08-06,78009.22
85,2020-08-05,77748.0
86,2020-08-04,75873.57
87,2020-08-03,75761.76
88,2020-07-31,75628.9
89,2020-07-30,75110.59
